0,1,2,3,4,5,6
24 de mayo de 1981,Ecuador,0:0,Chile,"Estadio Modelo, Guayaquil",,
,,Reporte,,Asistencia: 55.000 espectadores Árbitro: Juan Cardellino,Asistencia: 55.000 espectadores Árbitro: Juan Cardellino,
,,,,,,
,,,,,,
7 de junio de 1981,Paraguay,0:1 (0:0),Chile,"Estadio Defensores del Chaco, Asunción",,
,,Reporte,Yáñez 70',Asistencia: 45.104 espectadores Árbitro: Carlos Espósito,Asistencia: 45.104 espectadores Árbitro: Carlos Espósito,
,,,,,,
,,,,,,
14 de junio de 1981,Chile,2:0 (1:0),Ecuador,"Estadio Nacional, Santiago",,
,Rivas 10' Caszely 85',Reporte,,Asistencia: 79.290 espectadores Árbitro: Gilberto Aristizábal,Asistencia: 79.290 espectadores Árbitro: Gilberto Aristizábal,
,,,,,,
Chile clasificó al Mundial.,Chile clasificó al Mundial.,Chile clasificó al Mundial.,Chile clasificó al Mundial.,Chile clasificó al Mundial.,Chile clasificó al Mundial.,Chile clasificó al Mundial.
21 de junio de 1981,Chile,3:0 (3:0),Paraguay,"Estadio Nacional, Santiago",,
,Caszely 11' Yáñez 12' Neira 28',Reporte,,Asistencia: 75.075 espectadores Árbitro: Arppi Filho,Asistencia: 75.075 espectadores Árbitro: Arppi Filho,
,,,,,,
,,,,,,
