Fecha,Ciudad,Unnamed: 2,Unnamed: 3,Resultado,Unnamed: 5,Unnamed: 6
8 de octubre de 2015,La Paz,Bolivia,,0:2 (0:1) Archivado el 10 de octubre de 2015 en Wayback Machine.,,Uruguay
8 de octubre de 2015,Barranquilla,Colombia,,2:0 (1:0) Archivado el 26 de septiembre de 2015 en Wayback Machine.,,Perú
8 de octubre de 2015,Ciudad Guayana,Venezuela,,0:1 (0:0) Archivado el 3 de octubre de 2015 en Wayback Machine.,,Paraguay
8 de octubre de 2015,Santiago,Chile,,2:0 (0:0) Archivado el 26 de septiembre de 2015 en Wayback Machine.,,Brasil
8 de octubre de 2015,Buenos Aires,Argentina,,0:2 (0:0) Archivado el 26 de septiembre de 2015 en Wayback Machine.,,Ecuador
13 de octubre de 2015,Quito,Ecuador,,2:0 (0:0) Archivado el 11 de octubre de 2015 en Wayback Machine.,,Bolivia
13 de octubre de 2015,Montevideo,Uruguay,,3:0 (1:0) Archivado el 11 de octubre de 2015 en Wayback Machine.,,Colombia
13 de octubre de 2015,Asunción,Paraguay,,0:0 Archivado el 3 de octubre de 2015 en Wayback Machine.,,Argentina
13 de octubre de 2015,Fortaleza,Brasil,,3:1 (2:0) Archivado el 3 de octubre de 2015 en Wayback Machine.,,Venezuela
13 de octubre de 2015,Lima,Perú,,3:4 (2:3) Archivado el 28 de septiembre de 2015 en Wayback Machine.,,Chile
12 de noviembre de 2015,La Paz,Bolivia,,4:2 (3:1) Archivado el 14 de noviembre de 2015 en Wayback Machine.,,Venezuela
12 de noviembre de 2015,Quito,Ecuador,,2:1 (1:0) Archivado el 14 de noviembre de 2015 en Wayback Machine.,,Uruguay
12 de noviembre de 2015,Santiago,Chile,,1:1 (1:0) Archivado el 14 de noviembre de 2015 en Wayback Machine.,,Colombia
13 de noviembre de 2015[n 1]​,Buenos Aires,Argentina,,1:1 (1:0) Archivado el 16 de noviembre de 2015 en Wayback Machine.,,Brasil
13 de noviembre de 2015,Lima,Perú,,1:0 (1:0) Archivado el 17 de noviembre de 2015 en Wayback Machine.,,Paraguay
17 de noviembre de 2015,Barranquilla,Colombia,,0:1 (0:1) Archivado el 16 de noviembre de 2015 en Wayback Machine.,,Argentina
17 de noviembre de 2015,Ciudad Guayana,Venezuela,,1:3 (0:2) Archivado el 16 de noviembre de 2015 en Wayback Machine.,,Ecuador
17 de noviembre de 2015,Montevideo,Uruguay,,3:0 (1:0) Archivado el 16 de noviembre de 2015 en Wayback Machine.,,Chile
17 de noviembre de 2015,Asunción,Paraguay,,2:1 (0:0) Archivado el 18 de noviembre de 2015 en Wayback Machine.,,Bolivia
17 de noviembre de 2015,Salvador,Brasil,,3:0 (1:0) Archivado el 18 de noviembre de 2015 en Wayback Machine.,,Perú
24 de marzo de 2016,La Paz,Bolivia,,2:3 (0:2) Archivado el 21 de marzo de 2016 en Wayback Machine.,,Colombia
24 de marzo de 2016,Quito,Ecuador,,2:2 (1:1) Archivado el 22 de marzo de 2016 en Wayback Machine.,,Paraguay
24 de marzo de 2016,Santiago,Chile,,1:2 (1:2) Archivado el 24 de marzo de 2016 en Wayback Machine.,,Argentina
24 de marzo de 2016,Lima,Perú,,2:2 (0:1) Archivado el 21 de marzo de 2016 en Wayback Machine.,,Venezuela
25 de marzo de 2016,Recife,Brasil,,2:2 (2:1) Archivado el 31 de marzo de 2016 en Wayback Machine.,,Uruguay
29 de marzo de 2016,Barranquilla,Colombia,,3:1 (1:0) Archivado el 25 de agosto de 2016 en Wayback Machine.,,Ecuador
29 de marzo de 2016,Montevideo,Uruguay,,1:0 (0:0) Archivado el 4 de septiembre de 2016 en Wayback Machine.,,Perú
29 de marzo de 2016,Córdoba,Argentina,,2:0 (2:0) Archivado el 12 de septiembre de 2016 en Wayback Machine.,,Bolivia
29 de marzo de 2016,Barinas,Venezuela,,1:4 (1:1) Archivado el 4 de septiembre de 2016 en Wayback Machine.,,Chile
29 de marzo de 2016,Asunción,Paraguay,,2:2 (1:0) Archivado el 4 de septiembre de 2016 en Wayback Machine.,,Brasil
1 de septiembre de 2016,La Paz,Bolivia,,0:0 → 0:3 Archivado el 5 de septiembre de 2016 en Wayback Machine.[n 2]​,,Perú
1 de septiembre de 2016,Barranquilla,Colombia,,2:0 (1:0) Archivado el 1 de septiembre de 2016 en Wayback Machine.,,Venezuela
1 de septiembre de 2016,Quito,Ecuador,,0:3 (0:0) Archivado el 15 de junio de 2018 en Wayback Machine.,,Brasil
1 de septiembre de 2016,Mendoza,Argentina,,1:0 (1:0) Archivado el 28 de agosto de 2016 en Wayback Machine.,,Uruguay
1 de septiembre de 2016,Asunción,Paraguay,,2:1 (2:1) Archivado el 3 de septiembre de 2016 en Wayback Machine.,,Chile
6 de septiembre de 2016,Montevideo,Uruguay,,4:0 (3:0) Archivado el 7 de septiembre de 2016 en Wayback Machine.,,Paraguay
6 de septiembre de 2016,Mérida,Venezuela,,2:2 (1:0) Archivado el 6 de septiembre de 2016 en Wayback Machine.,,Argentina
6 de septiembre de 2016,Manaus,Brasil,,2:1 (1:1) Archivado el 5 de septiembre de 2016 en Wayback Machine.,,Colombia
6 de septiembre de 2016,Santiago,Chile,,0:0 → 3:0 Archivado el 5 de septiembre de 2016 en Wayback Machine.[n 2]​,,Bolivia
6 de septiembre de 2016,Lima,Perú,,2:1 (1:1) Archivado el 4 de septiembre de 2016 en Wayback Machine.,,Ecuador
6 de octubre de 2016,Quito,Ecuador,,3:0 (2:0) Archivado el 9 de octubre de 2016 en Wayback Machine.,,Chile
6 de octubre de 2016,Montevideo,Uruguay,,3:0 (1:0) Archivado el 9 de octubre de 2016 en Wayback Machine.,,Venezuela
6 de octubre de 2016,Asunción,Paraguay,,0:1 (0:0) Archivado el 9 de octubre de 2016 en Wayback Machine.,,Colombia
6 de octubre de 2016,Natal,Brasil,,5:0 (4:0) Archivado el 5 de octubre de 2016 en Wayback Machine.,,Bolivia
6 de octubre de 2016,Lima,Perú,,2:2 (0:1) Archivado el 6 de octubre de 2016 en Wayback Machine.,,Argentina
11 de octubre de 2016,La Paz,Bolivia,,2:2 (2:0) Archivado el 13 de octubre de 2016 en Wayback Machine.,,Ecuador
11 de octubre de 2016,Barranquilla,Colombia,,2:2 (1:1) Archivado el 12 de octubre de 2016 en Wayback Machine.,,Uruguay
11 de octubre de 2016,Córdoba,Argentina,,0:1 (0:1) Archivado el 13 de octubre de 2016 en Wayback Machine.,,Paraguay
11 de octubre de 2016,Santiago,Chile,,2:1 (1:0) Archivado el 12 de octubre de 2016 en Wayback Machine.,,Perú
11 de octubre de 2016,Mérida,Venezuela,,0:2 (0:1) Archivado el 12 de octubre de 2016 en Wayback Machine.,,Brasil
10 de noviembre de 2016,Barranquilla,Colombia,,0:0 Archivado el 11 de noviembre de 2016 en Wayback Machine.,,Chile
10 de noviembre de 2016,Montevideo,Uruguay,,2:1 (2:1) Archivado el 11 de noviembre de 2016 en Wayback Machine.,,Ecuador
10 de noviembre de 2016,Asunción,Paraguay,,1:4 (1:0) Archivado el 11 de noviembre de 2016 en Wayback Machine.,,Perú
10 de noviembre de 2016,Maturín,Venezuela,,5:0 (2:0) Archivado el 11 de noviembre de 2016 en Wayback Machine.,,Bolivia
10 de noviembre de 2016,Belo Horizonte,Brasil,,3:0 (2:0) Archivado el 11 de noviembre de 2016 en Wayback Machine.,,Argentina
15 de noviembre de 2016,La Paz,Bolivia,,1:0 (0:0) Archivado el 15 de noviembre de 2016 en Wayback Machine.,,Paraguay
15 de noviembre de 2016,Quito,Ecuador,,3:0 (0:0) Archivado el 16 de noviembre de 2016 en Wayback Machine.,,Venezuela
15 de noviembre de 2016,Santiago,Chile,,3:1 (1:1) Archivado el 16 de noviembre de 2016 en Wayback Machine.,,Uruguay
15 de noviembre de 2016,San Juan,Argentina,,3:0 (2:0) Archivado el 16 de noviembre de 2016 en Wayback Machine.,,Colombia
15 de noviembre de 2016,Lima,Perú,,0:2 (0:0) Archivado el 16 de noviembre de 2016 en Wayback Machine.,,Brasil
23 de marzo de 2017,Barranquilla,Colombia,,1:0 (0:0) Archivado el 24 de marzo de 2017 en Wayback Machine.,,Bolivia
23 de marzo de 2017,Montevideo,Uruguay,,1:4 (1:1) Archivado el 24 de marzo de 2017 en Wayback Machine.,,Brasil
23 de marzo de 2017,Asunción,Paraguay,,2:1 (1:0) Archivado el 24 de marzo de 2017 en Wayback Machine.,,Ecuador
23 de marzo de 2017,Maturín,Venezuela,,2:2 (2:0) Archivado el 24 de marzo de 2017 en Wayback Machine.,,Perú
23 de marzo de 2017,Buenos Aires,Argentina,,1:0 (1:0) Archivado el 24 de marzo de 2017 en Wayback Machine.,,Chile
28 de marzo de 2017,La Paz,Bolivia,,2:0 (1:0) Archivado el 27 de marzo de 2017 en Wayback Machine.,,Argentina
28 de marzo de 2017,Quito,Ecuador,,0:2 (0:2) Archivado el 29 de marzo de 2017 en Wayback Machine.,,Colombia
28 de marzo de 2017,Santiago,Chile,,3:1 (3:0) Archivado el 27 de marzo de 2017 en Wayback Machine.,,Venezuela
28 de marzo de 2017,São Paulo,Brasil,,3:0 (1:0) Archivado el 29 de marzo de 2017 en Wayback Machine.,,Paraguay
28 de marzo de 2017,Lima,Perú,,2:1 (1:1) Archivado el 29 de marzo de 2017 en Wayback Machine.,,Uruguay
31 de agosto de 2017,San Cristóbal,Venezuela,,0:0 Archivado el 1 de septiembre de 2017 en Wayback Machine.,,Colombia
31 de agosto de 2017,Santiago,Chile,,0:3 (0:1) Archivado el 1 de septiembre de 2017 en Wayback Machine.,,Paraguay
31 de agosto de 2017,Montevideo,Uruguay,,0:0 Archivado el 2 de septiembre de 2017 en Wayback Machine.,,Argentina
31 de agosto de 2017,Porto Alegre,Brasil,,2:0 (0:0) Archivado el 2 de septiembre de 2017 en Wayback Machine.,,Ecuador
31 de agosto de 2017,Lima,Perú,,2:1 (0:0) Archivado el 1 de septiembre de 2017 en Wayback Machine.,,Bolivia
5 de septiembre de 2017,La Paz,Bolivia,,1:0 (0:0) Archivado el 6 de septiembre de 2017 en Wayback Machine.,,Chile
5 de septiembre de 2017,Barranquilla,Colombia,,1:1 (0:1) Archivado el 4 de septiembre de 2017 en Wayback Machine.,,Brasil
5 de septiembre de 2017,Quito,Ecuador,,1:2 (0:0) Archivado el 6 de septiembre de 2017 en Wayback Machine.,,Perú
5 de septiembre de 2017,Buenos Aires,Argentina,,1:1 (0:0) Archivado el 6 de septiembre de 2017 en Wayback Machine.,,Venezuela
5 de septiembre de 2017,Asunción,Paraguay,,1:2 (0:0) Archivado el 5 de abril de 2018 en Wayback Machine.,,Uruguay
5 de octubre de 2017,La Paz,Bolivia,,0:0 Archivado el 6 de octubre de 2017 en Wayback Machine.,,Brasil
5 de octubre de 2017,San Cristóbal,Venezuela,,0:0 Archivado el 6 de octubre de 2017 en Wayback Machine.,,Uruguay
5 de octubre de 2017,Santiago,Chile,,2:1 (1:0) Archivado el 6 de octubre de 2017 en Wayback Machine.,,Ecuador
5 de octubre de 2017,Barranquilla,Colombia,,1:2 (0:0) Archivado el 6 de octubre de 2017 en Wayback Machine.,,Paraguay
5 de octubre de 2017,Buenos Aires,Argentina,,0:0 Archivado el 6 de octubre de 2017 en Wayback Machine.,,Perú
10 de octubre de 2017,Quito,Ecuador,,1:3 (1:2) Archivado el 11 de octubre de 2017 en Wayback Machine.,,Argentina
10 de octubre de 2017,Lima,Perú,,1:1 (0:0) Archivado el 11 de octubre de 2017 en Wayback Machine.,,Colombia
10 de octubre de 2017,Asunción,Paraguay,,0:1 (0:0) Archivado el 11 de octubre de 2017 en Wayback Machine.,,Venezuela
10 de octubre de 2017,São Paulo,Brasil,,3:0 (0:0) Archivado el 11 de octubre de 2017 en Wayback Machine.,,Chile
10 de octubre de 2017,Montevideo,Uruguay,,4:2 (2:1) Archivado el 1 de marzo de 2018 en Wayback Machine.,,Bolivia
