Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats
D. Machís LM,29,78,78,Real Valladolid 2023 ~ 2026,€14M,€27K,1985
J. Martínez ST,29,76,76,Inter Miami 2023 ~ 2023,€7.5M,€10K,1857
Y. Herrera CM CDM CAM,24,76,80,"Girona Jun 30, 2023 On loan",€10.5M,€80K,2034
J. Martínez CDM,27,74,75,Philadelphia Union 2020 ~ 2022,€4.3M,€8K,1777
J. Savarino RM ST,25,74,75,Real Salt Lake 2022 ~ 2025,€5M,€8K,1850
S. Rondón ST,32,73,73,River Plate 2023 ~ 2025,€2.5M,€15K,1762
M. Villanueva CB,29,73,73,Vitória SC 2022 ~ 2025,€2.5M,€9K,1739
F. Aristeguieta ST,30,73,73,Caracas 2021 ~ 2023,€3M,€1K,1824
R. Otero CAM LM,29,72,72,Aucas 2023 ~ 2023,€2.3M,€600,1934
J. Moreno CDM CM,28,71,71,Cincinnati 2022 ~ 2024,€1.6M,€6K,1868
W. Faríñez GK,24,71,76,Lens 2021 ~ 2024,€2.3M,€12K,1296
E. Torregrossa ST,30,71,71,Pisa 2023 ~ 2025,€1.8M,€4K,1726
L. González LM CAM CF,31,71,71,Junior 2019 ~ 2024,€1.6M,€3K,1815
A. Baroja GK,32,70,70,Caracas 2022 ~ 2023,€800K,€550,1190
T. Rincón CM CDM,34,70,70,Sampdoria 2022 ~ 2023,€725K,€11K,1943
J. Contreras GK,27,70,71,Rionegro Águilas 2022 ~ 2023,€1.4M,€950,1003
J. Cádiz ST,26,70,70,Famalicão 2022 ~ 2023,€1.8M,€7K,1644
Y. Osorio CB,28,70,71,Parma 2020 ~ 2024,€1.5M,€3K,1504
A. González RB RM,29,69,69,Caracas 2023 ~ 2026,€1.2M,€600,1949
K. Silva RB RM,28,69,69,Academia Puerto Cabello 2023 ~ 2023,€1.3M,€500,1735
J. Fuentes CB LB,25,69,74,Rionegro Águilas 2023 ~ 2023,€1.8M,€950,1626
E. Sosa CAM,26,69,70,Deportes Tolima 2022 ~ 2025,€1.6M,€2K,1742
R. Flores LW LM RM,24,69,72,Metropolitanos 2023 ~ 2026,€1.9M,€550,1829
C. Rivero CB,29,69,69,Academia Puerto Cabello 2023 ~ 2026,€1.2M,€500,1555
A. Peñaranda LW ST CAM,25,69,72,Boavista 2022 ~ 2025,€1.8M,€8K,1795
M. Cova CM CAM,29,68,68,Deportivo Táchira 2021 ~ 2023,€1.2M,€550,1816
J. Bolívar ST,20,68,77,Albacete 2023 ~ 2028,€2.7M,€3K,1674
A. Romero CM CDM LM,19,68,74,Monagas 2023 ~ 2023,€1.8M,€500,1752
C. Rivas CDM,25,68,73,Monagas 2023 ~ 2024,€1.6M,€500,1810
E. Peraza CB,29,68,68,Academia Puerto Cabello 2022 ~ 2024,€1M,€500,1441
J. Kouffati CAM LM,29,68,68,Deportivo Binacional 2023 ~ 2023,€1.2M,€500,1666
C. Larotonda CDM CM,23,68,74,Metropolitanos 2018 ~ 2023,€1.8M,€500,1819
L. Romero GK,31,68,68,Academia Puerto Cabello 2023 ~ 2024,€650K,€500,966
M. Lacava LW LM CAM,19,68,78,Vizela 2019 ~ 2023,€2.6M,€2K,1570
L. Flores LM CM CDM,26,68,68,Caracas 2023 ~ 2026,€1.3M,€550,1695
M. Guaramato RB,28,68,68,Estudiantes Mérida 2022 ~ 2023,€1.1M,€500,1577
A. Araque GK,26,68,70,Deportivo Táchira 2023 ~ 2026,€1.1M,€500,1021
R. Celis LM ST,26,68,68,Caracas 2023 ~ 2026,€1.3M,€550,1825
D. Pérez LW RW RM,22,68,73,Academia Puerto Cabello 2023 ~ 2023,€1.9M,€500,1735
W. Ángel CB,29,68,68,Aucas 2023 ~ 2023,€1M,€500,1448
J. Marrufo CB LB,26,67,70,Deportivo Táchira 2022 ~ 2023,€1.2M,€500,1553
J. Velázquez CB,31,67,67,Arouca 2021 ~ 2023,€700K,€3K,1551
J. Granados LB LWB,35,67,67,Academia Puerto Cabello 2023 ~ 2023,€325K,€500,1676
A. Figuera CDM CM,32,67,67,Blooming 2023 ~ 2023,€675K,€500,1738
Ó. González LB LM,30,67,67,Monagas 2017 ~ 2026,€875K,€500,1754
A. Ferro CB,20,67,74,Metropolitanos 2019 ~ 2024,€1.9M,€500,1620
E. Castillo CDM CM,28,67,67,Monagas 2023 ~ 2024,€900K,€500,1718
S. Córdova ST,24,67,72,Vancouver Whitecaps 2023 ~ 2025,€1.6M,€3K,1586
B. Velásquez GK,25,67,69,Estudiantes Mérida 2023 ~ 2026,€975K,€500,1165
J. Medina CB,30,67,67,Estudiantes Mérida 2023 ~ 2026,€825K,€500,1458
E. Ramírez ST,23,67,74,Dynamo Kyiv 2021 ~ 2026,€2.1M,€500,1575
S. Sosa LM,22,67,75,Emelec 2018 ~ 2024,€2.3M,€500,1714
F. Vargas LW LM RM,23,67,73,Metropolitanos 2022 ~ 2023,€1.6M,€500,1743
A. Montero RM LW CAM,28,67,67,Academia Puerto Cabello 2023 ~ 2023,€1M,€500,1688
C. Vivas CB RB,20,67,77,Deportivo Táchira 2023 ~ 2026,€2.1M,€500,1417
E. Navas RW CF LW,22,67,74,Monagas 2021 ~ 2024,€2.1M,€500,1699
A. Blondell ST,28,67,67,Monagas 2022 ~ 2023,€1M,€500,1645
Y. Chacón RM RW CAM,19,67,79,Deportivo Táchira 2020 ~ 2024,€2.4M,€500,1597
C. Rodríguez CB,24,67,69,Monagas 2023 ~ 2024,€1.2M,€500,1655
J. Vargas RB,27,67,67,Metropolitanos 2021 ~ 2023,€975K,€500,1676
A. Uribe ST,31,67,67,Deportivo Táchira 2021 ~ 2023,€850K,€500,1555
A. Matos CB,26,66,69,Estudiantes Mérida 2023 ~ 2026,€1M,€500,1396
W. Lugo CM CAM,25,66,69,Academia Puerto Cabello 2021 ~ 2024,€1.1M,€500,1733
V. Rodríguez CM CDM,27,66,66,Caracas 2022 ~ 2024,€900K,€500,1840
B. Ortega CAM CDM,19,66,74,Caracas 2022 ~ 2025,€1.8M,€500,1660
E. García LW LM CF,21,66,74,Deportivo Táchira 2023 ~ 2026,€1.9M,€500,1625
R. Ramírez CB,26,66,69,Monagas 2021 ~ 2023,€1M,€500,1537
M. Silva GK,21,66,76,Academia Puerto Cabello 2021 ~ 2024,€1.7M,€500,993
