"fecha,loca,resultado,visita,ciudad"""
"22 de septiembre de 1957,Chile,2-1,Bolivia,"Santiago""
"29 de septiembre de 1957,Bolivia,3-0,Chile,"La Paz""
"13 de octubre de 1957,Chile,0-2,Argentina,"Santiago""
"20 de octubre de 1957,Argentina,4-0,Chile,"Buenos Aires""
"1 de agosto de 1965,Chile,7-2,Colombia,"Santiago""
"7 de agosto de 1965,Colombia,2-0,Chile,"Barranquilla""
"15 de agosto de 1965,Ecuador,2-2,Chile,"Guayaquil""
"22 de agosto de 1965,Chile,3-1,Ecuador,"Santiago""
"13 de julio de 1969,Chile,0-0,Uruguay,"Santiago""
"27 de julio de 1969,Chile,4-1,Ecuador,"Santiago""
"3 de julio de 1969,Ecuador,1-1,Chile,"Guayaquil""
"10 de agosto de 1969,Uruguay,2-0,Chile," Montevideo""
"29 de abril de 1973,Perú,2-0,Chile,"Lima""
"13 de mayo de 1973,Chile,2-0,Perú,"Santiago""
"5 de agosto de 1973,Chile,2-1 (1-1),Perú,"Montevideo""
"27 de febrero de 1977,Ecuador,0-1,Chile,"Guayaquil""
"6 de marzo de 1977,Chile,1-1,Perú,"Santiago""
"20 de marzo de 1977,Chile,3-0,Ecuador,"Santiago""
"26 de marzo de 1977,Perú,2-0,Chile,"Lima""
"24 de mayo de 1981,Ecuador,0:0,Chile,"Guayaquil""
"7 de junio de 1981,Paraguay,0:1,Chile,"Asunción""
"14 de junio de 1981,Chile,2:0,Ecuador," Santiago""
"21 de junio de 1981,Chile,3:0,Paraguay," Santiago""
"3 de marzo de 1985,Ecuador,1-1,Chile,"Quito""
"17 de marzo de 1985,Chile,6-2,Ecuador,"Santiago""
"24 de marzo de 1985,Chile,2-0,Uruguay,"Santiago""
"7 de abril de 1985,Uruguay,2-1,Chile,"Montevideo""
"17 de noviembre de 1985,Chile,2-2,Paraguay,"Santiago""
"10 de noviembre de 1985,Paraguay,3-0,Chile,"Asunción""
"3 de noviembre de 1985,Perú,0-1,Chile,"Lima""
"27 de octubre de 1985,Chile,4-2,Perú," Santiago""
"6 de agosto de 1989,Venezuela,1-3,Chile," Caracas""
"13 de agosto de 1989,Chile,1-1,Brasil," Santiago""
"27 de agosto de 1989,Chile,5-0,Venezuela," Mendoza""
"3 de septiembre de 1989,Brasil,2-0,Chile," Río de Janeiro""
"2 de junio de 1996,Venezuela,1:1,Chile," Barinas""
"6 de julio de 1996,Chile,4:1,Ecuador,"Santiago""
"1 de septiembre de 1996,Colombia,4:1,Chile,"Barranquilla""
"9 de octubre de 1996,Paraguay,2:1,Chile,"Asunción""
"15 de diciembre de 1996,Argentina,1:1,Chile,"Buenos Aires""
"12 de enero de 1997,Perúú,2:1,Chile,"Lima""
"12 de febrero de 1997,Bolivia,1:1,Chile,"La Paz""
"29 de abril de 1997,Chile,6:0,Venezuela,"Santiago""
"8 de junio de 1997,Ecuador,1:1,Chile,"Quito""
"5 de julio de 1997,Chile,4:1,Colombia,"Santiago""
"20 de julio de 1997,Chile,2:1,Paraguay,"Santiago""
"20 de agosto de 1997,Uruguay,1:0,Chile,"Montevideo""
"10 de septiembre de 1997,Chile,1:2,Argentina,"Santiago""
"12 de octubre de 1997,Chile,4:0,Perú,"Santiago""
"16 de noviembre de 1997,Chile,3:0,Bolivia,"Santiago""
"29 de marzo de 2000,Argentina,4:1,Chile,"Buenos Aires""
"26 de abril de 2000,Chile,1:1,Perú,"Santiago""
"3 de junio de 2000,Uruguay,2:1,Chile,"Montevideo""
"29 de junio de 2000,Chile,3:1,Paraguay,"Santiago""
"19 de julio de 2000,Bolivia,1:0,Chile,"La Paz""
"25 de julio de 2000,Venezuela,0:2,Chile,"San Cristbal""
"15 de agosto de 2000,Chile,3:0,Brasil,"Santiago""
"2 de septiembre de 2000,Chile,0:1,Colombia,"Santiago""
"8 de octubre de 2000,Ecuador,1:0,Chile,"Quito""
"15 de noviembre de 2000,Chile,0:2,Argentina,"Santiago""
"27 de marzo de 2001,Perú,3:1,Chile,"Lima""
